Requirement Traceability Matrix,,,,,,,,,,,,,,,,,,,,,,,,,
No,Req ID,Req Desc,TC ID,TC Desc,Test Design,Test Designer,UAT Test  Req?,Test Execution,,,Defects?,Defect ID,Defect Status,Req Coverage Status,,,,,,,,,,,
10,2.2.5,Verify Email POST (Actor: Guest),"TC-2.2.5-01, TC-2.2.5-02, TC-2.2.5-03, TC-2.2.5-04",Verify email verification with valid/invalid token,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
11,2.2.6,Verify Email Link Click (Actor: Guest),"TC-2.2.6-01, TC-2.2.6-02",Verify email via link click with valid/expired token,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
12,2.3.1,List All Auctions (Actor: All Public),"TC-2.3.1-01, TC-2.3.1-02, TC-2.3.1-03, TC-2.3.1-04, TC-2.3.1-05, TC-2.3.1-06, TC-2.3.1-07, TC-2.3.1-08, TC-2.3.1-09, TC-2.3.1-10",Verify list all auctions publicly with/without filters,Complete,QA Team,Yes,Partial (4/10),,,No,,,Covered,,,,,,,,,,,
13,2.3.2,Get Auction Details (Actor: All Public),"TC-2.3.2-01, TC-2.3.2-02, TC-2.3.2-03, TC-2.3.2-04, TC-2.3.2-05, TC-2.3.2-06",Verify get auction by valid/invalid/non-existent ID,Complete,QA Team,Yes,Partial (3/6),,,No,,,Covered,,,,,,,,,,,
14,2.3.3,Create Auction (Actor: Auctioneer; Admin),"TC-2.3.3-01, TC-2.3.3-02, TC-2.3.3-03, TC-2.3.3-04, TC-2.3.3-05, TC-2.3.3-06, TC-2.3.3-07, TC-2.3.3-08, TC-2.3.3-09, TC-2.3.3-10",Verify Auctioneer creates auction; missing fields; Bidder restriction,Complete,QA Team,Yes,Partial (4/10),,,No,,,Covered,,,,,,,,,,,
15,2.3.4,Update Auction (Actor: Auctioneer; Admin),"TC-2.3.4-01, TC-2.3.4-02, TC-2.3.4-03, TC-2.3.4-04, TC-2.3.4-05, TC-2.3.4-06",Verify update scheduled auction; fail update live auction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
16,2.3.5,Delete Auction (Actor: Auctioneer; Admin),"TC-2.3.5-01, TC-2.3.5-02, TC-2.3.5-03, TC-2.3.5-04, TC-2.3.5-05",Verify delete scheduled auction; fail delete auction with bids,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
17,2.3.6,Update Auction Relations (Actor: Auctioneer; Admin),"TC-2.3.6-01, TC-2.3.6-02, TC-2.3.6-03, TC-2.3.6-04, TC-2.3.6-05",Verify update auction relations with valid/invalid ID,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
18,2.4.1,Register for Auction (Actor: Bidder),"TC-2.4.1-01, TC-2.4.1-02, TC-2.4.1-03, TC-2.4.1-04, TC-2.4.1-05, TC-2.4.1-06, TC-2.4.1-07, TC-2.4.1-08, TC-2.4.1-09, TC-2.4.1-10, TC-2.4.1-11, TC-2.4.1-12, TC-2.4.1-13, TC-2.4.1-14, TC-2.4.1-15, TC-2.4.1-16",Verify bidder registration; deadline failure; duplicate failure,Complete,QA Team,Yes,Partial (6/16),,,No,,,Covered,,,,,,,,,,,
19,2.4.2,Withdraw Registration (Actor: Bidder),"TC-2.4.2-01, TC-2.4.2-02, TC-2.4.2-03, TC-2.4.2-04, TC-2.4.2-05, TC-2.4.2-06, TC-2.4.2-07",Verify withdrawal before/after check-in,Complete,QA Team,Yes,Partial (5/7),,,No,,,Covered,,,,,,,,,,,
20,2.4.3,Check-in for Auction (Actor: Bidder),"TC-2.4.3-01, TC-2.4.3-02, TC-2.4.3-03, TC-2.4.3-04, TC-2.4.3-05, TC-2.4.3-06, TC-2.4.3-07, TC-2.4.3-08",Verify check-in within/outside window; without confirmation,Complete,QA Team,Yes,Partial (4/8),,,No,,,Covered,,,,,,,,,,,
21,2.4.4,Submit Deposit Payment (Actor: Bidder),"TC-2.4.4-01, TC-2.4.4-02, TC-2.4.4-03, TC-2.4.4-04, TC-2.4.4-05, TC-2.4.4-06, TC-2.4.4-07, TC-2.4.4-08",Verify submit deposit with/without document verification,Complete,QA Team,Yes,Partial (5/8),,,No,,,Covered,,,,,,,,,,,
22,2.4.5,Verify Deposit Payment (Actor: Bidder),"TC-2.4.5-01, TC-2.4.5-02, TC-2.4.5-03, TC-2.4.5-04",Verify deposit payment verification success/incomplete,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
23,2.4.6,View Own Registrations (Actor: Bidder),"TC-2.4.6-01, TC-2.4.6-02, TC-2.4.6-03, TC-2.4.6-04, TC-2.4.6-05",Verify view own registrations; fail view others,Complete,QA Team,Yes,Partial (4/5),,,No,,,Covered,,,,,,,,,,,
24,2.4.7,Get Registration for Auction (Actor: Bidder),"TC-2.4.7-01, TC-2.4.7-02, TC-2.4.7-03",Verify get registration for registered/non-registered auction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
25,2.4.8,List All Registrations (Actor: Admin; Auctioneer),"TC-2.4.8-01, TC-2.4.8-02, TC-2.4.8-03, TC-2.4.8-04, TC-2.4.8-05",Verify Admin lists all registrations; Bidder restriction,Complete,QA Team,Yes,Partial (4/5),,,No,,,Covered,,,,,,,,,,,
26,2.4.9,Approve Registration (Actor: Admin; Auctioneer),"TC-2.4.9-01, TC-2.4.9-02, TC-2.4.9-03, TC-2.4.9-04, TC-2.4.9-05",Verify approve pending/already approved registration,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
27,2.4.10,Reject Registration (Actor: Admin; Auctioneer),"TC-2.4.10-01, TC-2.4.10-02, TC-2.4.10-03, TC-2.4.10-04",Verify reject with/without reason,Complete,QA Team,Yes,Partial (3/4),,,No,,,Covered,,,,,,,,,,,
28,2.4.11,Verify Documents Tier 1 (Actor: Admin; Auctioneer),"TC-2.4.11-01, TC-2.4.11-02, TC-2.4.11-03",Verify documents Tier 1 with/without submission,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
29,2.4.12,Reject Documents (Actor: Admin; Auctioneer),"TC-2.4.12-01, TC-2.4.12-02, TC-2.4.12-03",Verify reject documents submitted/already verified,Complete,QA Team,Yes,Partial (2/3),,,No,,,Covered,,,,,,,,,,,
30,2.4.13,Final Approval Tier 2 (Actor: Admin; Auctioneer),"TC-2.4.13-01, TC-2.4.13-02, TC-2.4.13-03, TC-2.4.13-04",Verify final approval with/without deposit payment,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
31,2.4.14,Request Refund (Actor: Bidder),"TC-2.4.14-01, TC-2.4.14-02, TC-2.4.14-03, TC-2.4.14-04, TC-2.4.14-05, TC-2.4.14-06, TC-2.4.14-07, TC-2.4.14-08, TC-2.4.14-09, TC-2.4.14-10",Verify refund request for eligible/disqualified/winner/late withdrawal participants,Complete,QA Team,Yes,Partial (6/10),,,No,,,Covered,,,,,,,,,,,
32,2.4.15,List Refund Requests (Actor: Admin; Auctioneer),"TC-2.4.15-01, TC-2.4.15-02, TC-2.4.15-03, TC-2.4.15-04, TC-2.4.15-05, TC-2.4.15-06, TC-2.4.15-07, TC-2.4.15-08, TC-2.4.15-09, TC-2.4.15-10, TC-2.4.15-11, TC-2.4.15-12, TC-2.4.15-13, TC-2.4.15-14, TC-2.4.15-15, TC-2.4.15-16, TC-2.4.15-17",Verify list refunds with filters; pagination; role restriction,Complete,QA Team,Yes,Partial (11/17),,,No,,,Covered,,,,,,,,,,,
33,2.4.16,Get Refund Detail (Actor: Admin; Auctioneer),"TC-2.4.15-04, TC-2.4.15-05",Verify get refund detail for existing/non-existent participant,Complete,QA Team,Yes,Partial (1/2),,,No,,,Covered,,,,,,,,,,,
34,2.4.17,Update Refund Status (Actor: Admin; Auctioneer),"TC-2.4.15-06, TC-2.4.15-07, TC-2.4.15-08, TC-2.4.15-09",Verify approve/reject/process refund actions with proper validations,Complete,QA Team,Yes,Partial (2/4),,,No,,,Covered,,,,,,,,,,,
35,2.4.18,Batch Process Refunds (Actor: Admin; Auctioneer),"TC-2.4.15-10, TC-2.4.15-11, TC-2.4.15-12",Verify batch processing for auction with eligible/ineligible/no refunds,Complete,QA Team,Yes,Partial (1/3),,,No,,,Covered,,,,,,,,,,,
36,2.4.19,Disqualify Participant (Actor: Admin; Auctioneer),"TC-2.4.15-13, TC-2.4.15-14, TC-2.4.15-15, TC-2.4.15-16",Verify disqualification with proper reason; deposit forfeiture; already disqualified,Complete,QA Team,Yes,Partial (3/4),,,No,,,Covered,,,,,,,,,,,
37,2.5.1,Place Manual Bid (Actor: Bidder),"TC-2.5.1-01, TC-2.5.1-02, TC-2.5.1-03, TC-2.5.1-04, TC-2.5.1-05, TC-2.5.1-06, TC-2.5.1-07, TC-2.5.1-08, TC-2.5.1-09, TC-2.5.1-10, TC-2.5.1-11, TC-2.5.1-12, TC-2.5.1-13, TC-2.5.1-14, TC-2.5.1-15, TC-2.5.1-16, TC-2.5.1-17, TC-2.5.1-18, TC-2.5.1-19, TC-2.5.1-20, TC-2.5.1-21, TC-2.5.1-22, TC-2.5.1-23, TC-2.5.1-24, TC-2.5.1-25, TC-2.5.1-26, TC-2.5.1-27, TC-2.5.1-28, TC-2.5.1-29, TC-2.5.1-30",Verify first bid; subsequent bid; below minimum; not live; without check-in,Complete,QA Team,Yes,Partial (22/30),,,No,,,Covered,,,,,,,,,,,
38,2.5.2,Deny Bid (Actor: Admin; Auctioneer),"TC-2.5.2-01, TC-2.5.2-02, TC-2.5.2-03, TC-2.5.2-04, TC-2.5.2-05, TC-2.5.2-06, TC-2.5.2-07, TC-2.5.2-08, TC-2.5.2-09, TC-2.5.2-10",Verify Admin denies bid; withdrawn bid; Bidder restriction,Complete,QA Team,Yes,Partial (7/10),,,No,,,Covered,,,,,,,,,,,
39,2.5.3,Join Auction Room (Actor: Bidder),"TC-2.5.3-01, TC-2.5.3-02, TC-2.5.3-03, TC-2.5.3-04",Verify join auction room via WebSocket success/non-existent,Complete,QA Team,Yes,Partial (2/4),,,No,,,Covered,,,,,,,,,,,
40,2.5.4,Leave Auction Room (Actor: Bidder),"TC-2.5.4-01, TC-2.5.4-02, TC-2.5.4-03",Verify leave auction room success/never joined,Complete,QA Team,Yes,Partial (1/3),,,No,,,Covered,,,,,,,,,,,
41,2.5.5,Receive Auction State (Actor: Bidder),"TC-2.5.5-01, TC-2.5.5-02",Verify receive auction state on join with required fields,Complete,QA Team,Yes,Partial (1/2),,,No,,,Covered,,,,,,,,,,,
42,2.5.6,Receive New Bid Notification (Actor: Bidder),"TC-2.5.6-01, TC-2.5.6-02",Verify receive new bid notification with correct bidder info,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
43,2.5.7,Receive Time Updates (Actor: Bidder),"TC-2.5.7-01, TC-2.5.7-02",Verify receive time updates every second; stop at auction end,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
44,2.5.8,Receive Bid Denied Notification (Actor: Bidder),"TC-2.5.8-01, TC-2.5.8-02",Verify receive bid denied notification; other bidders see updated state,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
45,2.5.9,Receive Auction Update (Actor: Bidder),"TC-2.5.9-01, TC-2.5.9-02",Verify receive auction update on status change/admin override,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
46,2.6.1,Evaluate Auction (Actor: Admin; Auctioneer),"TC-2.6.1-01, TC-2.6.1-02, TC-2.6.1-03, TC-2.6.1-04, TC-2.6.1-05, TC-2.6.1-06, TC-2.6.1-07",Verify evaluate auction after end; fail when still live,Complete,QA Team,Yes,Partial (5/7),,,No,,,Covered,,,,,,,,,,,
47,2.6.2,Finalize Auction (Actor: Admin; Auctioneer),"TC-2.6.2-01, TC-2.6.2-02, TC-2.6.2-03, TC-2.6.2-04, TC-2.6.2-05, TC-2.6.2-06, TC-2.6.2-07, TC-2.6.2-08, TC-2.6.2-09, TC-2.6.2-10",Verify finalize with winner/without bids/already finalized,Complete,QA Team,Yes,Partial (7/10),,,No,,,Covered,,,,,,,,,,,
48,2.6.3,Override Auction Status (Actor: Admin; Super Admin),"TC-2.6.3-01, TC-2.6.3-02, TC-2.6.3-03, TC-2.6.3-04, TC-2.6.3-05, TC-2.6.3-06",Verify Super Admin override; Admin restriction,Complete,QA Team,Yes,Partial (3/6),,,No,,,Covered,,,,,,,,,,,
49,2.6.4,Get Auction Results (Actor: All Participants),"TC-2.6.4-01, TC-2.6.4-02, TC-2.6.4-03, TC-2.6.4-04, TC-2.6.4-05",Verify get results as participant/non-participant,Complete,QA Team,Yes,Partial (3/5),,,No,,,Covered,,,,,,,,,,,
50,2.6.5,Get Audit Logs (Actor: Admin; Auctioneer),"TC-2.6.5-01, TC-2.6.5-02, TC-2.6.5-03",Verify Admin gets audit logs; Bidder restriction,Complete,QA Team,Yes,Partial (2/3),,,No,,,Covered,,,,,,,,,,,
51,2.6.6,Get Winner Payment Requirements (Actor: Winner),"TC-2.6.6-01, TC-2.6.6-02",Verify winner gets payment requirements; non-winner restriction,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
52,2.6.7,Initiate Winner Payment (Actor: Winner),"TC-2.6.7-01, TC-2.6.7-02, TC-2.6.7-03, TC-2.6.7-04",Verify winner initiates payment; fail for non-finalized auction,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
53,2.6.8,Verify Winner Payment (Actor: Winner; Admin),"TC-2.6.8-01, TC-2.6.8-02, TC-2.6.8-03",Verify winner payment verification success/invalid session,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
54,2.6.9,Handle Winner Payment Default (Actor: Admin),"TC-2.6.9-01, TC-2.6.9-02, TC-2.6.9-03, TC-2.6.9-04, TC-2.6.9-05, TC-2.6.9-06",Verify winner disqualification on payment default; offer to second bidder,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
55,2.7.1,Create Payment Session (Actor: Bidder; Winner),"TC-2.7.1-01, TC-2.7.1-02, TC-2.7.1-03, TC-2.7.1-04, TC-2.7.1-05, TC-2.7.1-06, TC-2.7.1-07, TC-2.7.1-08, TC-2.7.1-09, TC-2.7.1-10, TC-2.7.1-11, TC-2.7.1-12, TC-2.7.1-13, TC-2.7.1-14, TC-2.7.1-15, TC-2.7.1-16, TC-2.7.1-17, TC-2.7.1-18, TC-2.7.1-19, TC-2.7.1-20",Verify create deposit/winning payment session; invalid type,Complete,QA Team,Yes,Partial (17/20),,,No,,,Covered,,,,,,,,,,,
56,2.7.2,Verify Payment (Actor: Bidder; Winner),"TC-2.7.2-01, TC-2.7.2-02, TC-2.7.2-03, TC-2.7.2-04, TC-2.7.2-05",Verify payment after Stripe success/cancelled/invalid session,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
57,2.8.1,Create Update Auction Costs (Actor: Admin; Auctioneer),"TC-2.8.1-01, TC-2.8.1-02, TC-2.8.1-03, TC-2.8.1-04, TC-2.8.1-05, TC-2.8.1-06, TC-2.8.1-07, TC-2.8.1-08",Verify create/update auction costs; Bidder restriction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
58,2.8.2,Get Auction Costs (Actor: All Authenticated),"TC-2.8.2-01, TC-2.8.2-02, TC-2.8.2-03, TC-2.8.2-04",Verify get auction costs with/without existing costs,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
59,2.8.3,Update Specific Cost Fields (Actor: Admin; Auctioneer),"TC-2.8.3-01, TC-2.8.3-02, TC-2.8.3-03, TC-2.8.3-04",Verify partial update of costs; negative cost validation,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
60,2.8.4,Delete Auction Costs (Actor: Admin),"TC-2.8.4-01, TC-2.8.4-02, TC-2.8.4-03, TC-2.8.4-04",Verify Admin deletes costs; Auctioneer restriction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
61,2.8.5,Add Other Cost Item (Actor: Admin; Auctioneer),"TC-2.8.5-01, TC-2.8.5-02, TC-2.8.5-03, TC-2.8.5-04",Verify add other cost item with/without name,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
62,2.9.1,Get All System Variables (Actor: Admin; Super Admin),"TC-2.9.1-01, TC-2.9.1-02, TC-2.9.1-03, TC-2.9.1-04, TC-2.9.1-05",Verify get all system variables; Bidder restriction,Complete,QA Team,Yes,Partial (4/5),,,No,,,Covered,,,,,,,,,,,
63,2.9.2,Get System Variable (Actor: Admin; Super Admin),"TC-2.9.2-01, TC-2.9.2-02, TC-2.9.2-03",Verify get specific/non-existent system variable,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
64,2.9.3,Update System Variable (Actor: Admin; Super Admin),"TC-2.9.3-01, TC-2.9.3-02, TC-2.9.3-03, TC-2.9.3-04",Verify update system variable success/wrong data type,Complete,QA Team,Yes,Partial (3/4),,,No,,,Covered,,,,,,,,,,,
65,2.9.4,Create System Variable (Actor: Admin; Super Admin),"TC-2.9.4-01, TC-2.9.4-02, TC-2.9.4-03, TC-2.9.4-04",Verify create new/duplicate system variable,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
66,2.9.5,Clear Cache (Actor: Admin; Super Admin),"TC-2.9.5-01, TC-2.9.5-02",Verify clear cache by Admin; Bidder restriction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
67,2.9.6,Get Cache Statistics (Actor: Admin; Super Admin),"TC-2.9.6-01, TC-2.9.6-02",Verify get cache statistics; Bidder restriction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
68,2.10.1,Get All Locations (Actor: All Public),"TC-2.10.1-01, TC-2.10.1-02, TC-2.10.1-03, TC-2.10.1-04, TC-2.10.1-05, TC-2.10.1-06, TC-2.10.1-07, TC-2.10.1-08, TC-2.10.1-09, TC-2.10.1-10",Verify get all locations publicly with hierarchy structure,Complete,QA Team,Yes,Partial (9/10),,,No,,,Covered,,,,,,,,,,,
69,2.11.1,List All Articles (Actor: All Public),"TC-2.11.1-01, TC-2.11.1-02, TC-2.11.1-03, TC-2.11.1-04, TC-2.11.1-05, TC-2.11.1-06, TC-2.11.1-07",Verify list all articles publicly with/without type filter,Complete,QA Team,Yes,Partial (5/7),,,No,,,Covered,,,,,,,,,,,
70,2.11.2,Get Article Details (Actor: All Public),"TC-2.11.2-01, TC-2.11.2-02, TC-2.11.2-03, TC-2.11.2-04, TC-2.11.2-05",Verify get article details by valid/non-existent ID,Complete,QA Team,Yes,Partial (4/5),,,No,,,Covered,,,,,,,,,,,
71,2.11.3,Create Article (Actor: Admin),"TC-2.11.3-01, TC-2.11.3-02, TC-2.11.3-03, TC-2.11.3-04, TC-2.11.3-05, TC-2.11.3-06, TC-2.11.3-07, TC-2.11.3-08, TC-2.11.3-09, TC-2.11.3-10",Verify Admin creates article; Bidder restriction; missing fields,Complete,QA Team,Yes,Partial (8/10),,,No,,,Covered,,,,,,,,,,,
72,2.11.4,Update Article (Actor: Admin),"TC-2.11.4-01, TC-2.11.4-02, TC-2.11.4-03, TC-2.11.4-04",Verify update existing/non-existent article,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
73,2.11.5,Update Article Relations (Actor: Admin),"TC-2.11.5-01, TC-2.11.5-02, TC-2.11.5-03, TC-2.11.5-04",Verify update article relations; self-reference restriction,Complete,QA Team,Yes,Partial (3/4),,,No,,,Covered,,,,,,,,,,,
74,2.11.6,Delete Article (Actor: Admin),"TC-2.11.6-01, TC-2.11.6-02, TC-2.11.6-03",Verify Admin deletes article; Auctioneer restriction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
75,2.12.1,Get Contract Details (Actor: Buyer; Seller),"TC-2.12.1-01, TC-2.12.1-02, TC-2.12.1-03, TC-2.12.1-04",Verify buyer/seller access; non-party restriction; non-existent contract,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
76,2.12.2,Export Contract PDF (Actor: Buyer; Seller),"TC-2.12.2-01, TC-2.12.2-02, TC-2.12.2-03, TC-2.12.2-04",Verify PDF export in Vietnamese/English; non-party restriction; invalid language,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
77,2.12.3,List User Contracts (Actor: Authenticated User),"TC-2.12.3-01, TC-2.12.3-02",Verify list user contracts; empty list handling,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
78,2.12.4,Update Contract (Actor: Admin; Auctioneer),"TC-2.12.4-01, TC-2.12.4-02",Verify update contract notes; Bidder restriction,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
79,4.1.1,IDOR - Insecure Direct Object Reference (Security),"TC-4.1.1-01, TC-4.1.1-02, TC-4.1.1-03, TC-4.1.1-04, TC-4.1.1-05",Verify IDOR protection on user registrations and contract endpoints,Complete,QA Team,Yes,Partial (4/5),,,No,,,Covered,,,,,,,,,,,
80,4.1.2,BOLA - Broken Object Level Authorization (Security),"TC-4.1.2-01, TC-4.1.2-02, TC-4.1.2-03, TC-4.1.2-04, TC-4.1.2-05, TC-4.1.2-06, TC-4.1.2-07",Verify BOLA protection on contracts and winner payment endpoints,Complete,QA Team,Yes,Partial (6/7),,,No,,,Covered,,,,,,,,,,,
81,4.1.3,Mass Assignment / Parameter Tampering (Security),"TC-4.1.3-01, TC-4.1.3-02, TC-4.1.3-03, TC-4.1.3-04, TC-4.1.3-05, TC-4.1.3-06",Verify rejection of injected isWinningBid/role/status fields,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
82,4.1.4,Rate Limiting / Brute Force Protection (Security),"TC-4.1.4-01, TC-4.1.4-02, TC-4.1.4-03, TC-4.1.4-04, TC-4.1.4-05",Verify rate limiting on OTP verification and bid placement,Complete,QA Team,Yes,Partial (3/5),,,No,,,Covered,,,,,,,,,,,
83,4.1.5,SQL Injection Prevention (Security),"TC-4.1.5-01, TC-4.1.5-02, TC-4.1.5-03",Verify SQL injection prevention in email/path/filter parameters,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
84,4.1.6,XSS Prevention (Security),"TC-4.1.6-01, TC-4.1.6-02, TC-4.1.6-03",Verify XSS prevention in article content and user name fields,Complete,QA Team,Yes,Partial (2/3),,,No,,,Covered,,,,,,,,,,,
85,4.1.7,JWT Security (Security),"TC-4.1.7-01, TC-4.1.7-02, TC-4.1.7-03",Verify JWT token validation including expiry/tampering/algorithm,Complete,QA Team,Yes,Partial (2/3),,,No,,,Covered,,,,,,,,,,,
86,4.1.8,Banned User Restrictions (Security),"TC-4.1.8-01, TC-4.1.8-02, TC-4.1.8-03, TC-4.1.8-04",Verify banned user cannot bid/register/login; unverified user restrictions,Complete,QA Team,Yes,Partial (2/4),,,No,,,Covered,,,,,,,,,,,
87,4.1.9,File Upload Security (Security),"TC-4.1.9-01, TC-4.1.9-02, TC-4.1.9-03, TC-4.1.9-04",Verify file upload size/type/count restrictions,Complete,QA Team,Yes,Partial (3/4),,,No,,,Covered,,,,,,,,,,,
88,5.1.1,Race Condition - Concurrent Bidding (Non-Functional),"TC-5.1.1-01, TC-5.1.1-02, TC-5.1.1-03, TC-5.1.1-04, TC-5.1.1-05",Verify concurrent bid handling; auction boundary; check-in idempotency,Complete,QA Team,Yes,Partial (3/5),,,No,,,Covered,,,,,,,,,,,
89,5.1.2,Double Spend Prevention (Non-Functional),"TC-5.1.2-01, TC-5.1.2-02, TC-5.1.2-03",Verify payment idempotency for deposit and winner payments,Complete,QA Team,Yes,Partial (1/3),,,No,,,Covered,,,,,,,,,,,
90,5.1.3,Auction Timing Edge Cases (Non-Functional),"TC-5.1.3-01, TC-5.1.3-02, TC-5.1.3-03, TC-5.1.3-04, TC-5.1.3-05",Verify boundary behavior at auction start/end and registration deadline,Complete,QA Team,Yes,Partial (2/5),,,No,,,Covered,,,,,,,,,,,
